SystemID;SystemIteration;AlgorithmID;VersionID1;VersionID2;timeInitRegular;timeCoreRegular;timeCleanRegular;timeFirstAddRegular;timeFirstStrongBfsRegular;timeWeakBfsRegular;timeSecondAddRegular;timeSecondStrongBfsRegular;timeFinishRegular;timeInitIncremental;timeCoreIncremental;timeCleanIncremental;timeFirstAddIncremental;timeFirstStrongBfsIncremental;timeWeakBfsIncremental;timeSecondAddIncremental;timeSecondStrongBfsIncremental;timeFinishIncremental;VariablesAdded;VariablesRemoved;VariablesShared;ClausesAdded;ClausesRemoved;ClausesShared;RedundantRegular;StrongRegular;WeakRegular;RedundantIncremental;StrongIncremental;WeakIncremental
1;3;2;17;18;18986;1986019;266032;0;0;0;125752;94064;84291;769510;1976042;230244;0;0;0;87111;75750;79216;16;6;1126;8;3;553;0;1338;652;0;1338;652
1;3;2;18;19;29211;1986748;232579;0;0;0;97113;80590;85779;775968;1886304;216203;0;0;0;90781;109538;82685;43;16;1126;18;7;554;0;1358;952;0;1358;952
1;3;2;19;20;28383;2640628;391911;0;0;0;164334;143605;176159;768440;2320243;240055;0;0;0;102397;103265;167703;21;2;1167;3;0;572;0;1384;1030;0;1384;1030
1;3;2;20;21;20316;2117250;229383;0;0;0;109171;90936;89232;899506;2535035;333038;0;0;0;94146;145565;161037;5;4;1184;1;2;573;0;1388;1042;0;1388;1042
1;3;2;21;22;19302;2599148;237136;0;0;0;107708;90764;85516;786015;2012960;276549;0;0;0;87956;83527;82128;5;4;1185;3;2;572;0;1384;1042;0;1384;1042
1;3;2;22;23;23438;2097765;406144;0;0;0;164480;152579;135632;1167463;2512764;237177;0;0;0;95263;92163;86649;15;5;1185;7;2;573;0;1390;1054;0;1390;1054
1;3;2;23;24;20554;2266950;245911;0;0;0;100747;73663;84425;800546;1968694;230311;0;0;0;92468;74025;88112;12;0;1200;3;0;580;0;1416;1078;0;1416;1078
1;3;2;24;25;21009;2096995;252105;0;0;0;117067;86598;96543;878425;2065584;241209;0;0;0;108272;92249;84957;40;30;1182;4;2;581;0;1440;1108;0;1440;1108
1;3;2;25;26;20653;2217638;224931;0;0;0;105768;84139;126146;880633;2021073;324791;0;0;0;100863;108432;91753;20;0;1222;9;0;585;0;1494;1120;0;1494;1120
1;3;2;26;27;19567;2969532;296049;0;0;0;160235;191615;130610;858279;2408990;236047;0;0;0;96965;87898;94201;9;6;1236;3;1;593;0;1500;1114;0;1500;1114
