ModelID;AlgorithmID;Name;Settings
49;5;YASA;t2_m1_pc_folder
49;6;YASA;t2_m1_pc_file
49;7;YASA;t2_m1_pc_vars
50;0;YASA;t1_m1_pc_all
50;1;YASA;t1_m1_pc_folder
50;2;YASA;t1_m1_pc_file
50;3;YASA;t1_m1_pc_vars
50;4;YASA;t2_m1_pc_all
50;5;YASA;t2_m1_pc_folder
50;6;YASA;t2_m1_pc_file
50;7;YASA;t2_m1_pc_vars
51;0;YASA;t1_m1_pc_all
51;1;YASA;t1_m1_pc_folder
51;2;YASA;t1_m1_pc_file
51;3;YASA;t1_m1_pc_vars
51;4;YASA;t2_m1_pc_all
51;5;YASA;t2_m1_pc_folder
51;6;YASA;t2_m1_pc_file
51;7;YASA;t2_m1_pc_vars
52;0;YASA;t1_m1_pc_all
52;1;YASA;t1_m1_pc_folder
52;2;YASA;t1_m1_pc_file
52;3;YASA;t1_m1_pc_vars
52;4;YASA;t2_m1_pc_all
52;5;YASA;t2_m1_pc_folder
52;6;YASA;t2_m1_pc_file
52;7;YASA;t2_m1_pc_vars
54;0;YASA;t1_m1_pc_all
54;1;YASA;t1_m1_pc_folder
54;2;YASA;t1_m1_pc_file
54;3;YASA;t1_m1_pc_vars
54;4;YASA;t2_m1_pc_all
54;5;YASA;t2_m1_pc_folder
54;6;YASA;t2_m1_pc_file
54;7;YASA;t2_m1_pc_vars
55;0;YASA;t1_m1_pc_all
55;1;YASA;t1_m1_pc_folder
55;2;YASA;t1_m1_pc_file
55;3;YASA;t1_m1_pc_vars
55;4;YASA;t2_m1_pc_all
55;5;YASA;t2_m1_pc_folder
55;6;YASA;t2_m1_pc_file
55;7;YASA;t2_m1_pc_vars
56;0;YASA;t1_m1_pc_all
56;1;YASA;t1_m1_pc_folder
56;2;YASA;t1_m1_pc_file
56;3;YASA;t1_m1_pc_vars
56;4;YASA;t2_m1_pc_all
56;5;YASA;t2_m1_pc_folder
56;6;YASA;t2_m1_pc_file
56;7;YASA;t2_m1_pc_vars
57;0;YASA;t1_m1_pc_all
57;1;YASA;t1_m1_pc_folder
57;2;YASA;t1_m1_pc_file
57;3;YASA;t1_m1_pc_vars
57;4;YASA;t2_m1_pc_all
57;5;YASA;t2_m1_pc_folder
57;6;YASA;t2_m1_pc_file
57;7;YASA;t2_m1_pc_vars
58;0;YASA;t1_m1_pc_all
58;1;YASA;t1_m1_pc_folder
58;2;YASA;t1_m1_pc_file
58;3;YASA;t1_m1_pc_vars
58;4;YASA;t2_m1_pc_all
58;5;YASA;t2_m1_pc_folder
58;6;YASA;t2_m1_pc_file
58;7;YASA;t2_m1_pc_vars
59;0;YASA;t1_m1_pc_all
59;1;YASA;t1_m1_pc_folder
59;2;YASA;t1_m1_pc_file
59;3;YASA;t1_m1_pc_vars
59;4;YASA;t2_m1_pc_all
59;5;YASA;t2_m1_pc_folder
59;6;YASA;t2_m1_pc_file
59;7;YASA;t2_m1_pc_vars
60;0;YASA;t1_m1_pc_all
60;1;YASA;t1_m1_pc_folder
60;2;YASA;t1_m1_pc_file
60;3;YASA;t1_m1_pc_vars
60;4;YASA;t2_m1_pc_all
60;5;YASA;t2_m1_pc_folder
60;6;YASA;t2_m1_pc_file
60;7;YASA;t2_m1_pc_vars
61;0;YASA;t1_m1_pc_all
61;1;YASA;t1_m1_pc_folder
61;2;YASA;t1_m1_pc_file
61;3;YASA;t1_m1_pc_vars
61;4;YASA;t2_m1_pc_all
61;5;YASA;t2_m1_pc_folder
61;6;YASA;t2_m1_pc_file
61;7;YASA;t2_m1_pc_vars
62;0;YASA;t1_m1_pc_all
62;1;YASA;t1_m1_pc_folder
62;2;YASA;t1_m1_pc_file
62;3;YASA;t1_m1_pc_vars
62;4;YASA;t2_m1_pc_all
62;5;YASA;t2_m1_pc_folder
62;6;YASA;t2_m1_pc_file
62;7;YASA;t2_m1_pc_vars
63;0;YASA;t1_m1_pc_all
63;1;YASA;t1_m1_pc_folder
63;2;YASA;t1_m1_pc_file
63;3;YASA;t1_m1_pc_vars
63;4;YASA;t2_m1_pc_all
63;5;YASA;t2_m1_pc_folder
63;6;YASA;t2_m1_pc_file
63;7;YASA;t2_m1_pc_vars
