ID;Mode;Iteration;Time;Size;Error
10;fm_only;0;21452972;190;false
10;pc_all_fm;0;17408700;89;false
10;pc_all_fm_fm;0;14691600;252;false
10;pc_folder_fm;0;14569557;89;false
10;pc_file_fm;0;9910239;89;false
10;pc_vars_fm;0;8118338;64;false
10;pc_all;0;14621071;282;false
10;pc_folder;0;15652228;282;false
10;pc_file;0;15210996;282;false
10;pc_vars;0;15053825;118;false
11;fm_only;0;4304418;142;false
11;pc_all_fm;0;4971845;8;false
11;pc_all_fm_fm;0;5900883;147;false
11;pc_folder_fm;0;5419251;8;false
11;pc_file_fm;0;4505033;8;false
11;pc_vars_fm;0;4014912;14;false
11;pc_all;0;67991162;910;false
11;pc_folder;0;66481549;910;false
11;pc_file;0;64456092;910;false
11;pc_vars;0;52861569;752;false
12;fm_only;0;5889829;646;false
12;pc_all_fm;0;4517664;14;false
12;pc_all_fm_fm;0;4892031;646;false
12;pc_folder_fm;0;5104277;14;false
12;pc_file_fm;0;4544646;14;false
12;pc_vars_fm;0;4958167;20;false
12;pc_all;0;15701551;404;false
12;pc_folder;0;16593475;404;false
12;pc_file;0;16512638;404;false
12;pc_vars;0;15522111;382;false
13;fm_only;0;26386784;540;false
13;pc_all_fm;0;26900861;223;false
13;pc_all_fm_fm;0;28321846;677;false
13;pc_folder_fm;0;28710404;223;false
13;pc_file_fm;0;26988712;223;false
13;pc_vars_fm;0;26869796;208;false
13;pc_all;0;449463741;11174;false
13;pc_folder;0;460193102;11174;false
13;pc_file;0;427842746;11174;false
13;pc_vars;0;427014414;6240;false
14;fm_only;0;53091631;2036;false
14;pc_all_fm;0;50828624;1006;false
14;pc_all_fm_fm;0;52124424;2672;false
14;pc_folder_fm;0;52784370;1006;false
14;pc_file_fm;0;51722944;1006;false
14;pc_vars_fm;0;51600111;1024;false
14;pc_all;0;136740728;3598;false
14;pc_folder;0;138476877;3598;false
14;pc_file;0;141027841;3598;false
14;pc_vars;0;136303351;3088;false
15;fm_only;0;907179146;13776;false
15;pc_all_fm;0;880576540;3447;false
15;pc_all_fm_fm;0;885261367;15713;false
15;pc_folder_fm;0;890391180;3447;false
15;pc_file_fm;0;878362964;3447;false
15;pc_vars_fm;0;851019367;3400;false
15;pc_all;0;1818240042;55983;false
15;pc_folder;0;1813357960;55983;false
15;pc_file;0;1801549199;55983;false
15;pc_vars;0;1763100406;34160;false
